"URI";"discogs_have";"discogs_want"
"http://dbpedia.org/resource/The_Friends_EP";"707";"287"
"http://dbpedia.org/resource/Stade_2";"596";"372"
"http://dbpedia.org/resource/Harps_and_Angels";"238";"22"
"http://dbpedia.org/resource/The_Weirdness";"1185";"160"
"http://dbpedia.org/resource/Mic_Tyson";"756";"648"
"http://dbpedia.org/resource/Wake_Up_and_Smell_the_Coffee";"843";"239"
"http://dbpedia.org/resource/So_Beautiful_or_So_What";"978";"137"
"http://dbpedia.org/resource/Live_at_Reading";"4975";"1959"
"http://dbpedia.org/resource/The_Sophtware_Slump";"3827";"1248"
"http://dbpedia.org/resource/The_Town_and_the_City_(album)";"124";"18"
"http://dbpedia.org/resource/Paul's_Tomb:_A_Triumph";"258";"56"
"http://dbpedia.org/resource/The_Grind_Date";"2322";"1117"
"http://dbpedia.org/resource/IRM_(album)";"2011";"712"
"http://dbpedia.org/resource/The_Outsider_(DJ_Shadow_album)";"2656";"1646"
"http://dbpedia.org/resource/In_Case_You_Didn't_Know";"134";"14"
"http://dbpedia.org/resource/War_Stories_(album)";"3576";"1818"
"http://dbpedia.org/resource/Bittersweet_World";"136";"12"
"http://dbpedia.org/resource/Ya_Know%3F";"1087";"283"
"http://dbpedia.org/resource/The_Dangermen_Sessions_Vol._1";"8";"1"
"http://dbpedia.org/resource/Only_by_the_Night";"6817";"2400"
"http://dbpedia.org/resource/American_Idiot";"5441";"1938"
"http://dbpedia.org/resource/Imperial_Wax_Solvent";"782";"470"
"http://dbpedia.org/resource/Conspiracy_of_One";"2657";"1629"
"http://dbpedia.org/resource/The_Drug_in_Me_Is_You";"120";"24"
"http://dbpedia.org/resource/Offend_Maggie";"1252";"386"
"http://dbpedia.org/resource/Learning_from_Falling";"73";"8"
"http://dbpedia.org/resource/Now,_More_Than_Ever";"144";"52"
"http://dbpedia.org/resource/All_the_Plans";"212";"44"
"http://dbpedia.org/resource/Sleep_Through_the_Static";"1644";"432"
"http://dbpedia.org/resource/Take_It_to_the_Limit_(Hinder_album)";"156";"54"
"http://dbpedia.org/resource/Your_Future_Our_Clutter";"1560";"378"
"http://dbpedia.org/resource/Love_Travels_at_Illegal_Speeds";"598";"220"
"http://dbpedia.org/resource/Earth_vs._The_Pipettes";"184";"48"
"http://dbpedia.org/resource/In_the_Maybe_World";"232";"54"
"http://dbpedia.org/resource/Break_the_Cycle";"1687";"155"
"http://dbpedia.org/resource/Neon_Golden";"5388";"1568"
"http://dbpedia.org/resource/BLACKsummers'night";"460";"290"
"http://dbpedia.org/resource/White_Silence";"866";"510"
"http://dbpedia.org/resource/Watershed_(Opeth_album)";"6184";"1934"
"http://dbpedia.org/resource/Survival_of_the_Sickest_(album)";"96";"2"
"http://dbpedia.org/resource/Wild_Flag_(album)";"2004";"306"
"http://dbpedia.org/resource/Pushing_the_Senses";"928";"207"
"http://dbpedia.org/resource/No_Mundane_Options";"12";"2"
"http://dbpedia.org/resource/Townes_(album)";"1198";"182"
"http://dbpedia.org/resource/A_French_Kiss_in_the_Chaos";"134";"18"
"http://dbpedia.org/resource/Dr._No's_Ethiopium";"604";"408"
"http://dbpedia.org/resource/Blood_in_My_Eye";"348";"32"
"http://dbpedia.org/resource/An_Empty_Bliss_Beyond_This_World";"1272";"3892"
"http://dbpedia.org/resource/LCD_Soundsystem_(album)";"12039";"5783"
"http://dbpedia.org/resource/The_Color_Spectrum";"727";"1234"
"http://dbpedia.org/resource/Foundling_(album)";"194";"48"
"http://dbpedia.org/resource/Live_Like_You_Were_Dying";"50";"0"
"http://dbpedia.org/resource/You're_a_Woman,_I'm_a_Machine";"5475";"5233"
"http://dbpedia.org/resource/Time_Changes_Everything";"212";"64"
"http://dbpedia.org/resource/The_Time_of_the_Assassins";"116";"36"
"http://dbpedia.org/resource/Machine_(EP)";"0";"0"
"http://dbpedia.org/resource/Thecontrollersphere";"234";"32"
"http://dbpedia.org/resource/Strength_in_Numbers_(Calla_album)";"290";"42"
"http://dbpedia.org/resource/1991_(EP)";"22";"13"
"http://dbpedia.org/resource/Cat's_Eyes_(album)";"560";"306"
"http://dbpedia.org/resource/The_Power_of_Negative_Thinking:_B-Sides_&_Rarities";"472";"216"
"http://dbpedia.org/resource/The_Verge_(album)";"4";"1"
"http://dbpedia.org/resource/Haywire_(Josh_Turner_album)";"16";"4"
"http://dbpedia.org/resource/Only_One_Flo_(Part_1)";"0";"0"
"http://dbpedia.org/resource/The_Earth_Is_Not_a_Cold_Dead_Place";"10670";"3772"
"http://dbpedia.org/resource/Escapology_(album)";"1917";"435"
"http://dbpedia.org/resource/Something_to_Die_For";"396";"146"
"http://dbpedia.org/resource/Dusk_and_Summer";"290";"90"
"http://dbpedia.org/resource/Sugar_Mountain_%E2%80%93_Live_at_Canterbury_House_1968";"1793";"548"
"http://dbpedia.org/resource/Monkey_Business_(album)";"0";"0"
"http://dbpedia.org/resource/It_Still_Moves";"3467";"1048"
"http://dbpedia.org/resource/The_Facts_of_Life_(album)";"906";"142"
"http://dbpedia.org/resource/Nine_Types_of_Light";"3048";"580"
"http://dbpedia.org/resource/From_a_Basement_on_the_Hill";"4785";"1507"
"http://dbpedia.org/resource/Here's_the_Tender_Coming";"180";"34"
"http://dbpedia.org/resource/The_Intercontinentals";"192";"20"
"http://dbpedia.org/resource/No_Said_Date";"1045";"350"
"http://dbpedia.org/resource/Sing_Along_to_Songs_You_Don't_Know";"734";"362"
"http://dbpedia.org/resource/The_Noise_Made_by_People";"4780";"2604"
"http://dbpedia.org/resource/The_Lonely_Position_of_Neutral";"151";"30"
"http://dbpedia.org/resource/Y_Not";"258";"60"
"http://dbpedia.org/resource/Embryonic";"5344";"1741"
"http://dbpedia.org/resource/The_Sweet_Escape";"1459";"464"
"http://dbpedia.org/resource/The_Wanted_(EP)";"1";"0"
"http://dbpedia.org/resource/Charmbracelet";"842";"497"
"http://dbpedia.org/resource/Solarized";"642";"70"
"http://dbpedia.org/resource/Get_Behind_Me_Satan";"10044";"6658"
"http://dbpedia.org/resource/Smoke_Ring_for_My_Halo";"5058";"1268"
"http://dbpedia.org/resource/Reanimation";"2869";"2144"
"http://dbpedia.org/resource/Big_Dreams_&_High_Hopes";"0";"0"
"http://dbpedia.org/resource/Suite_420";"0";"0"
"http://dbpedia.org/resource/Back_to_Black";"17834";"9801"
"http://dbpedia.org/resource/Blood_Money_(Tom_Waits_album)";"5536";"1554"
"http://dbpedia.org/resource/Love_the_Future";"88";"22"
"http://dbpedia.org/resource/Reintegration_Time";"114";"22"
"http://dbpedia.org/resource/Light_After_Dark";"132";"20"
"http://dbpedia.org/resource/The_Road_and_the_Radio";"70";"4"
"http://dbpedia.org/resource/Lost_in_the_Sound_of_Separation";"1186";"1198"
"http://dbpedia.org/resource/Outta_Sight/Outta_Mind";"654";"191"
"http://dbpedia.org/resource/Intimacy:_Album_III";"0";"0"
"http://dbpedia.org/resource/Comicopera";"1413";"328"
"http://dbpedia.org/resource/Rise_and_Fall,_Rage_and_Grace";"1039";"658"
"http://dbpedia.org/resource/Leave_This_Town";"180";"38"
"http://dbpedia.org/resource/Lost_and_Found_(Mudvayne_album)";"735";"142"
"http://dbpedia.org/resource/Street's_Disciple";"1906";"525"
"http://dbpedia.org/resource/Cats_&_Dogs_(Evidence_album)";"1450";"580"
"http://dbpedia.org/resource/Apocalyptic_Love";"1237";"340"
"http://dbpedia.org/resource/Earthly_Delights_(album)";"1212";"586"
"http://dbpedia.org/resource/One_Day_as_a_Lion_(EP)";"0";"0"
"http://dbpedia.org/resource/Just_Us_Kids";"78";"8"
"http://dbpedia.org/resource/Pull_Up_Some_Dust_and_Sit_Down";"360";"72"
"http://dbpedia.org/resource/Ghosts_of_the_Great_Highway";"1604";"2158"
"http://dbpedia.org/resource/One_Soul_Now";"214";"10"
"http://dbpedia.org/resource/You_Forgot_It_in_People";"4672";"2344"
"http://dbpedia.org/resource/These_Are_the_Good_Times_People";"148";"60"
"http://dbpedia.org/resource/Wonderful_Rainbow";"2386";"1702"
"http://dbpedia.org/resource/Blood_for_the_Master";"756";"302"
"http://dbpedia.org/resource/A_Place_to_Bury_Strangers_(album)";"2981";"1816"
"http://dbpedia.org/resource/The_Craft_(album)";"1386";"518"
"http://dbpedia.org/resource/Whatever_People_Say_I_Am,_That's_What_I'm_Not";"14539";"7999"
"http://dbpedia.org/resource/A_Lifetime_of_Temporary_Relief:_10_Years_of_B-Sides_and_Rarities";"1096";"194"
"http://dbpedia.org/resource/The_Lateness_of_the_Hour_(album)";"236";"52"
"http://dbpedia.org/resource/The_Rebirth_of_Venus";"30";"0"
"http://dbpedia.org/resource/Marshall's_House";"77";"44"
"http://dbpedia.org/resource/Bay_of_Pigs_(EP)";"0";"0"
"http://dbpedia.org/resource/Destroy_Rock_&_Roll";"4130";"1568"
"http://dbpedia.org/resource/Love_on_the_Inside";"108";"26"
"http://dbpedia.org/resource/Bear_Creek_(album)";"354";"112"
"http://dbpedia.org/resource/The_Battle_for_Everything";"132";"10"
"http://dbpedia.org/resource/Tassili_(album)";"873";"554"
"http://dbpedia.org/resource/Time_the_Conqueror";"216";"64"
"http://dbpedia.org/resource/Goon_Affiliated";"22";"0"
"http://dbpedia.org/resource/Picaresque_(album)";"4846";"1145"
"http://dbpedia.org/resource/Life_Is_Good_(Nas_album)";"1464";"498"
"http://dbpedia.org/resource/Downtown_Church";"27";"5"
"http://dbpedia.org/resource/This_Is_Happening";"8448";"4513"
"http://dbpedia.org/resource/The_Private_Press";"8580";"3557"
"http://dbpedia.org/resource/Welcome_to_Goon_Island";"100";"18"
"http://dbpedia.org/resource/Beyond_the_Neighbourhood";"400";"152"
"http://dbpedia.org/resource/The_Sun_and_the_Moon";"612";"268"
"http://dbpedia.org/resource/Razorlight_(album)";"1055";"249"
"http://dbpedia.org/resource/Modulate_(album)";"252";"26"
"http://dbpedia.org/resource/Pullhair_Rubeye";"442";"278"
"http://dbpedia.org/resource/Songs_for_the_Deaf";"14029";"17107"
"http://dbpedia.org/resource/Staind_(album)";"159";"34"
"http://dbpedia.org/resource/Not_Your_Kind_of_People";"1740";"688"
"http://dbpedia.org/resource/The_Curse_of_Blondie";"526";"88"
"http://dbpedia.org/resource/Multiply_Additions";"3750";"1040"
"http://dbpedia.org/resource/Beautifully_Human:_Words_and_Sounds_Vol._2";"1024";"754"
"http://dbpedia.org/resource/Robotique_Majestique";"30";"4"
"http://dbpedia.org/resource/Electric_Version";"2146";"298"
"http://dbpedia.org/resource/Modern_Apprentice";"336";"28"
"http://dbpedia.org/resource/Fist_of_God";"586";"296"
"http://dbpedia.org/resource/Screaming_Bloody_Murder";"204";"32"
"http://dbpedia.org/resource/Purple_Naked_Ladies";"109";"64"
"http://dbpedia.org/resource/Higher_Than_the_Eiffel";"228";"112"
"http://dbpedia.org/resource/Celestial_Lineage";"3528";"1996"
"http://dbpedia.org/resource/Day_I_Forgot";"454";"96"
"http://dbpedia.org/resource/Doggumentary";"302";"78"
"http://dbpedia.org/resource/Body_Language_Live";"2541";"400"
"http://dbpedia.org/resource/The_Ugly_Organ";"3974";"1032"
"http://dbpedia.org/resource/Universal_Pulse";"394";"98"
"http://dbpedia.org/resource/Separation_Sunday";"636";"922"
"http://dbpedia.org/resource/Ersatz_GB";"0";"0"
"http://dbpedia.org/resource/Game_Tested,_Streets_Approved";"14";"7"
"http://dbpedia.org/resource/If_On_a_Winter's_Night...";"706";"223"
"http://dbpedia.org/resource/Humanoid_(album)";"381";"216"
"http://dbpedia.org/resource/Tha_Carter_III";"1488";"892"
"http://dbpedia.org/resource/Look_to_the_Sky";"260";"134"
"http://dbpedia.org/resource/Harmonicraft";"2910";"510"
"http://dbpedia.org/resource/The_Last_Romance";"868";"308"
"http://dbpedia.org/resource/In_Some_Way,_Shape_or_Form";"253";"96"
"http://dbpedia.org/resource/The_Blueprint";"10310";"4814"
"http://dbpedia.org/resource/Matthew_Morrison_(album)";"26";"10"
"http://dbpedia.org/resource/About_a_Boy_(soundtrack)";"146";"2"
"http://dbpedia.org/resource/Trapped_Animal";"162";"126"
"http://dbpedia.org/resource/Shock_Value_II";"410";"142"
"http://dbpedia.org/resource/Release_Therapy";"578";"132"
"http://dbpedia.org/resource/Happy_Songs_for_Happy_People";"4906";"2534"
"http://dbpedia.org/resource/The_Loudest_Engine";"92";"18"
"http://dbpedia.org/resource/Get_Off_on_the_Pain";"26";"4"
"http://dbpedia.org/resource/31_Minutes_to_Takeoff";"74";"16"
"http://dbpedia.org/resource/TSOL_(album)";"258";"264"
"http://dbpedia.org/resource/Dizzy_Spells_(album)";"310";"100"
"http://dbpedia.org/resource/Franz_Ferdinand_(DVD)";"11900";"4419"
"http://dbpedia.org/resource/Red_Devil_Dawn";"123";"25"
"http://dbpedia.org/resource/Sycamore_Meadows";"158";"82"
"http://dbpedia.org/resource/Dead_Drunk";"268";"102"
"http://dbpedia.org/resource/A_New_Tide";"376";"124"
"http://dbpedia.org/resource/Time_(The_Revelator)";"572";"158"
"http://dbpedia.org/resource/Emotion_&_Commotion";"584";"66"
"http://dbpedia.org/resource/Biophilia_(album)";"0";"0"
"http://dbpedia.org/resource/Grinderman_2";"12287";"2803"
"http://dbpedia.org/resource/Here_with_Me_(album)";"32";"2"
"http://dbpedia.org/resource/Dark_Days/Light_Years";"800";"356"
"http://dbpedia.org/resource/Sepalcure_(album)";"722";"560"
"http://dbpedia.org/resource/Black_Cadillac";"204";"14"
"http://dbpedia.org/resource/Brass_Knuckles_(album)";"106";"12"
"http://dbpedia.org/resource/Born_Villain";"1692";"962"
"http://dbpedia.org/resource/These_Are_the_Vistas";"404";"86"
"http://dbpedia.org/resource/The_Drift";"3002";"1138"
"http://dbpedia.org/resource/Tinted_Windows_(album)";"88";"28"
"http://dbpedia.org/resource/Illinois_(album)";"13156";"6086"
"http://dbpedia.org/resource/Coexist_(album)";"11678";"4234"
"http://dbpedia.org/resource/Yours_Truly,_Angry_Mob";"2204";"478"
"http://dbpedia.org/resource/Absolute_Dissent";"1590";"1172"
"http://dbpedia.org/resource/David_Archuleta_(album)";"74";"0"
"http://dbpedia.org/resource/Live_from_Dakota";"324";"166"
"http://dbpedia.org/resource/Pop_Tune";"56";"30"
"http://dbpedia.org/resource/Raditude";"1388";"468"
"http://dbpedia.org/resource/Attak";"1082";"80"
"http://dbpedia.org/resource/Street_Halo";"7561";"2668"
"http://dbpedia.org/resource/July_Flame";"454";"157"
"http://dbpedia.org/resource/Tales_Don't_Tell_Themselves";"307";"16"
"http://dbpedia.org/resource/Miss_Machine";"3912";"2194"
"http://dbpedia.org/resource/Set_Yourself_on_Fire";"1804";"936"
"http://dbpedia.org/resource/GhostDeini_the_Great";"45";"8"
"http://dbpedia.org/resource/Moment_Bends";"354";"106"
"http://dbpedia.org/resource/Hoodstar";"164";"10"
"http://dbpedia.org/resource/Happiness_(Hurts_album)";"2333";"694"
"http://dbpedia.org/resource/The_Tight_Connection";"29";"5"
"http://dbpedia.org/resource/Hail_to_the_Thief";"19593";"7988"
"http://dbpedia.org/resource/3_Doors_Down_(album)";"390";"69"
"http://dbpedia.org/resource/Poses_(album)";"830";"46"
"http://dbpedia.org/resource/Cobblestone_Runway";"303";"80"
"http://dbpedia.org/resource/Time_for_Annihilation";"122";"22"
"http://dbpedia.org/resource/Gavin_DeGraw_(album)";"101";"8"
"http://dbpedia.org/resource/The_Seldom_Seen_Kid";"3856";"998"
"http://dbpedia.org/resource/Rejoicing_in_the_Hands";"2596";"664"
"http://dbpedia.org/resource/Rather_Ripped";"6093";"1287"
"http://dbpedia.org/resource/Based_on_a_T.R.U._Story";"318";"184"
"http://dbpedia.org/resource/If_Songs_Could_Be_Held";"96";"14"
"http://dbpedia.org/resource/Strawberry_Weed";"152";"60"
"http://dbpedia.org/resource/Leucocyte_(album)";"0";"0"
"http://dbpedia.org/resource/Tenacious_D_(album)";"4007";"1761"
"http://dbpedia.org/resource/Tweekend";"1649";"770"
"http://dbpedia.org/resource/The_Glass_Passenger";"436";"470"
"http://dbpedia.org/resource/Minimum-Maximum";"0";"0"
"http://dbpedia.org/resource/Bright_Ideas";"42";"16"
"http://dbpedia.org/resource/Timez_Are_Weird_These_Days";"235";"129"
"http://dbpedia.org/resource/Love_Remains";"1228";"658"
"http://dbpedia.org/resource/The_Smell_of_Our_Own";"546";"140"
"http://dbpedia.org/resource/Jasper_County_(album)";"47";"0"
"http://dbpedia.org/resource/A_Lively_Mind";"667";"116"
"http://dbpedia.org/resource/Me_First_(album)";"260";"46"
"http://dbpedia.org/resource/Less_Than_Human_(album)";"1200";"292"
"http://dbpedia.org/resource/Spot_the_Difference";"42";"24"
"http://dbpedia.org/resource/All_Hands_on_the_Bad_One";"2304";"650"
"http://dbpedia.org/resource/Cold_House";"1552";"484"
"http://dbpedia.org/resource/Grown_&_Sexy";"77";"35"
"http://dbpedia.org/resource/Party_Rock";"776";"518"
"http://dbpedia.org/resource/Old_Ramon";"1224";"816"
"http://dbpedia.org/resource/Half_the_Perfect_World";"580";"162"
"http://dbpedia.org/resource/Someone_to_Drive_You_Home";"866";"266"
"http://dbpedia.org/resource/In_and_Out_of_Youth_and_Lightness";"932";"294"
"http://dbpedia.org/resource/Robyn_(album)";"2099";"1057"
"http://dbpedia.org/resource/My_World,_My_Way_(album)";"144";"26"
"http://dbpedia.org/resource/Winner_Stays_On";"17";"3"
"http://dbpedia.org/resource/Blacklisted_(album)";"1666";"876"
"http://dbpedia.org/resource/Ill_Manors_(album)";"444";"176"
"http://dbpedia.org/resource/Invaders_Must_Die";"3296";"2580"
"http://dbpedia.org/resource/Supermodified_(album)";"6140";"2332"
"http://dbpedia.org/resource/It's_Alive!_(album)";"17";"3"
"http://dbpedia.org/resource/Real_Animal";"298";"30"
"http://dbpedia.org/resource/Live_from_Rome";"690";"106"
"http://dbpedia.org/resource/Because_of_the_Times";"4782";"1488"
"http://dbpedia.org/resource/Weird_Revolution";"716";"404"
"http://dbpedia.org/resource/Love_Is_the_Answer_(album)";"154";"48"
"http://dbpedia.org/resource/Her_Majesty_the_Decemberists";"0";"0"
"http://dbpedia.org/resource/Pieces_in_a_Modern_Style";"1845";"389"
"http://dbpedia.org/resource/Person_Pitch";"8388";"2336"
"http://dbpedia.org/resource/New_Leaves";"824";"228"
"http://dbpedia.org/resource/That_Lonesome_Song";"254";"72"
"http://dbpedia.org/resource/Autumn,_Again";"230";"168"
"http://dbpedia.org/resource/Calling_the_World";"148";"16"
"http://dbpedia.org/resource/Not_Without_a_Fight";"1152";"294"
"http://dbpedia.org/resource/Fiction_Family_(album)";"144";"34"
"http://dbpedia.org/resource/Stumble_into_Grace";"322";"4"
"http://dbpedia.org/resource/The_Besnard_Lakes_Are_the_Dark_Horse";"1224";"132"
"http://dbpedia.org/resource/Blackjazz";"1448";"632"
"http://dbpedia.org/resource/Curtis_(50_Cent_album)";"898";"202"
"http://dbpedia.org/resource/I'm_with_You_(album)";"3216";"1424"
"http://dbpedia.org/resource/Slicker_Than_Your_Average";"541";"122"
"http://dbpedia.org/resource/Black_Dialogue";"753";"158"
"http://dbpedia.org/resource/Prog_(album)";"190";"44"
"http://dbpedia.org/resource/Walking_on_a_Dream";"2687";"2830"
"http://dbpedia.org/resource/It's_Me_Again";"184";"47"
"http://dbpedia.org/resource/Ten$Ion";"1994";"2402"
"http://dbpedia.org/resource/Parting_the_Sea_Between_Brightness_and_Me";"4956";"1990"
"http://dbpedia.org/resource/Doomsdayer's_Holiday";"1732";"642"
"http://dbpedia.org/resource/Darkly,_Darkly,_Venus_Aversa";"1466";"384"
"http://dbpedia.org/resource/Madvillainy";"23638";"17950"
"http://dbpedia.org/resource/Chickenfoot_III";"26";"3"
"http://dbpedia.org/resource/Furr";"1544";"194"
"http://dbpedia.org/resource/Impossible_Spaces";"408";"146"
"http://dbpedia.org/resource/Build_a_Rocket_Boys!";"2158";"507"
"http://dbpedia.org/resource/Lupe_Fiasco's_Food_&_Liquor";"1860";"1500"
"http://dbpedia.org/resource/Kid_A";"31656";"18802"
"http://dbpedia.org/resource/Gloriana_(album)";"6";"0"
"http://dbpedia.org/resource/Do_It_in_the_AM";"95";"38"
"http://dbpedia.org/resource/Gala_Mill";"364";"260"
"http://dbpedia.org/resource/Keep_Calm_and_Carry_On_(album)";"311";"220"
"http://dbpedia.org/resource/Break_It_Yourself";"1658";"424"
"http://dbpedia.org/resource/Forgiven_(album)";"40";"14"
"http://dbpedia.org/resource/You_Can_Feel_Me";"132";"4"
"http://dbpedia.org/resource/Antifogmatic";"328";"162"
"http://dbpedia.org/resource/Paper_Walls";"382";"128"
"http://dbpedia.org/resource/Game_Theory_(album)";"3719";"1086"
"http://dbpedia.org/resource/Steingarten";"3335";"1835"
"http://dbpedia.org/resource/Like_Red_on_a_Rose";"60";"2"
"http://dbpedia.org/resource/Girls_Can_Tell";"2519";"925"
"http://dbpedia.org/resource/A_Boot_and_a_Shoe";"84";"4"
"http://dbpedia.org/resource/Music_for_Cougars";"10";"3"
"http://dbpedia.org/resource/The_Papercut_Chronicles_II";"40";"12"
"http://dbpedia.org/resource/The_High_End_of_Low";"1285";"534"
"http://dbpedia.org/resource/Oohs_&_Aahs";"160";"124"
"http://dbpedia.org/resource/Love_Behind_the_Melody";"60";"30"
"http://dbpedia.org/resource/The_Dutchess";"761";"71"
"http://dbpedia.org/resource/Wikked_Lil'_Grrrls";"182";"40"
"http://dbpedia.org/resource/Mirrored";"5650";"2810"
